Video,Frame Number,Timestamp (s),Wrist Y,Elbow Y
steph 2,7,0.23,0.5476,0.4666
Recording 2025-03-10 131035,26,0.86,0.2672,0.3303
Recording 2025-03-10 131035,26,0.86,0.2672,0.3303
Recording 2025-03-10 131035_processed,26,0.86,0.2602,0.3283
Recording 2025-07-03 010926,5,0.17,0.4356,0.3777
Recording 2025-07-03 011143,27,0.89,0.2553,0.3334
Recording 2025-07-03 011338,7,0.23,0.4434,0.389
Recording 2025-07-03 011634,23,0.75,0.2193,0.3285
Recording 2025-07-03 011921,34,1.11,0.2297,0.3242
Recording 2025-07-03 012113,24,0.78,0.2425,0.3281
Recording 2025-07-03 012700,28,0.91,0.3018,0.3627
Recording 2025-07-03 013059,28,0.91,0.2921,0.3581
Recording 2025-07-03 013222,28,0.93,0.2536,0.323
Recording 2025-07-03 013418,25,0.82,0.2355,0.2752
Recording 2025-07-03 013547,28,0.93,0.3094,0.3848
Recording 2025-07-03 013721,26,0.84,0.2923,0.3606
Recording 2025-07-03 013945,31,1.01,0.3063,0.3766
Recording 2025-07-03 014116,27,0.9,0.2834,0.3577
Recording 2025-07-03 014324,28,0.93,0.2703,0.3399
Recording 2025-07-03 014510,31,1.02,0.2491,0.3353
Recording 2025-07-03 014617,32,1.07,0.214,0.3271
Recording 2025-07-03 014808,25,0.8,0.2815,0.3657
Recording 2025-07-03 014921,26,0.84,0.1899,0.2952
Recording 2025-07-03 015049,26,0.85,0.2992,0.3681
Recording 2025-07-03 015213,23,0.75,0.2368,0.3414
Recording 2025-07-03 015322,27,0.89,0.254,0.3365
Recording 2025-07-03 015514,32,1.05,0.2673,0.3526
Recording 2025-07-03 015625,26,0.84,0.3057,0.379
Recording 2025-07-03 015737,5,0.16,0.5054,0.4247
Recording 2025-07-03 015909,29,0.95,0.2915,0.3611
Recording 2025-07-03 020032,29,0.96,0.2362,0.2896
Recording 2025-07-03 020154,26,0.86,0.2835,0.373
Recording 2025-07-03 020435,30,0.97,0.2163,0.3334
Recording 2025-07-03 020608,7,0.23,0.4667,0.3984
Recording 2025-07-03 020832,28,0.91,0.1257,0.22
Recording 2025-07-03 020957,2,0.07,0.4473,0.3889
Recording 2025-07-03 021124,3,0.1,0.5156,0.4604
Recording 2025-07-03 021301,39,1.29,0.313,0.4084
Recording 2025-07-03 021412,44,1.47,0.3511,0.3664
Recording 2025-03-10 131035,26,0.86,0.2672,0.3303
Recording 2025-03-10 131035_processed,26,0.86,0.2602,0.3283
Recording 2025-07-03 010926,5,0.17,0.4356,0.3777
Recording 2025-07-03 011143,27,0.89,0.2553,0.3334
Recording 2025-07-03 011338,7,0.23,0.4434,0.389
Recording 2025-07-03 011634,23,0.75,0.2193,0.3285
Recording 2025-07-03 011921,34,1.11,0.2297,0.3242
Recording 2025-07-03 012113,24,0.78,0.2425,0.3281
Recording 2025-07-03 012700,28,0.91,0.3018,0.3627
Recording 2025-07-03 013059,28,0.91,0.2921,0.3581
Recording 2025-07-03 013222,28,0.93,0.2536,0.323
Recording 2025-07-03 013418,25,0.82,0.2355,0.2752
Recording 2025-07-03 013547,28,0.93,0.3094,0.3848
Recording 2025-07-03 013721,26,0.84,0.2923,0.3606
Recording 2025-07-03 013945,31,1.01,0.3063,0.3766
Recording 2025-07-03 014116,27,0.9,0.2834,0.3577
Recording 2025-07-03 014324,28,0.93,0.2703,0.3399
Recording 2025-07-03 014510,31,1.02,0.2491,0.3353
Recording 2025-07-03 014617,32,1.07,0.214,0.3271
Recording 2025-07-03 014808,25,0.8,0.2815,0.3657
Recording 2025-07-03 014921,26,0.84,0.1899,0.2952
Recording 2025-07-03 015049,26,0.85,0.2992,0.3681
Recording 2025-07-03 015213,23,0.75,0.2368,0.3414
Recording 2025-07-03 015322,27,0.89,0.254,0.3365
Recording 2025-07-03 015514,32,1.05,0.2673,0.3526
Recording 2025-07-03 015625,26,0.84,0.3057,0.379
Recording 2025-07-03 015737,5,0.16,0.5054,0.4247
Recording 2025-07-03 015909,29,0.95,0.2915,0.3611
Recording 2025-07-03 020032,29,0.96,0.2362,0.2896
Recording 2025-07-03 020154,26,0.86,0.2835,0.373
Recording 2025-07-03 020435,30,0.97,0.2163,0.3334
Recording 2025-07-03 020608,7,0.23,0.4667,0.3984
Recording 2025-07-03 020832,28,0.91,0.1257,0.22
Recording 2025-07-03 020957,2,0.07,0.4473,0.3889
Recording 2025-07-03 021124,3,0.1,0.5156,0.4604
Recording 2025-07-03 021301,39,1.29,0.313,0.4084
Recording 2025-07-03 021412,44,1.47,0.3511,0.3664
