Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle,Video,Shot_Number,Label,Timestamp (s),Wrist Y,Elbow Y
1.0,86.94480843559607,8.714422659168212,80.99420822692299,177.17307804755535,171.94320310109836,Recording 2025-03-10 131035,,,,,
2.0,93.6567844826285,10.604759407840517,71.60860743496626,173.4397674236805,166.10786406655492,Recording 2025-03-10 131035,,,,,
3.0,104.6300967019977,12.27485500481516,58.01568866876696,170.70719530886106,162.91535110999604,Recording 2025-03-10 131035,,,,,
4.0,103.30789111477912,14.12510969356014,55.38285104114811,166.04980921579218,160.7909869074078,Recording 2025-03-10 131035,,,,,
5.0,98.81491496954236,12.358432839830328,60.61001291547414,162.70882751242763,157.93343642744213,Recording 2025-03-10 131035,,,,,
6.0,96.96619296039157,11.944117336618712,63.60254087345396,162.40890145991978,155.15275044419107,Recording 2025-03-10 131035,,,,,
7.0,96.7364042467692,12.045612552703634,63.89932282843983,161.96109438093612,153.5325875541677,Recording 2025-03-10 131035,,,,,
8.0,86.45373802530946,9.329490257084114,77.31279675666877,160.96226317575793,149.87359624418758,Recording 2025-03-10 131035,,,,,
9.0,66.20833826639323,6.931521397833672,101.19130875492392,155.34929648397954,139.1128552334891,Recording 2025-03-10 131035,,,,,
10.0,55.8547052177596,4.813421168582006,115.28215481591867,154.17626329636582,136.59780885310946,Recording 2025-03-10 131035,,,,,
11.0,38.21986092198223,2.4591388570392456,137.29143140166633,158.37395303664186,133.4272497984826,Recording 2025-03-10 131035,,,,,
12.0,39.268757153261326,2.992549943643707,136.68715367818018,160.0408434505486,133.2654742175033,Recording 2025-03-10 131035,,,,,
13.0,70.57125805052362,43.020524026458034,152.9138411233561,165.0488536438827,135.60581474820162,Recording 2025-03-10 131035,,,,,
14.0,85.63457149670108,64.32638024241349,160.9500687937862,169.44463180086336,138.05530138622345,Recording 2025-03-10 131035,,,,,
15.0,90.7633506942078,77.91172030162365,168.72642900506304,175.23996131531976,153.9378139636033,Recording 2025-03-10 131035,,,,,
16.0,133.77424160779063,122.98207496713898,171.28179639865314,179.98664032943347,162.94166533182067,Recording 2025-03-10 131035,,,,,
17.0,116.6169954553298,107.89948786931215,172.24881872964025,179.79336185979147,168.17244990306358,Recording 2025-03-10 131035,,,,,
18.0,26.990901734437657,13.718863371005565,167.21365200477868,179.03501519182353,172.0468302019252,Recording 2025-03-10 131035,,,,,
19.0,152.27394846031245,142.44899141832124,172.0921598640137,175.12903036573806,175.54526371488072,Recording 2025-03-10 131035,,,,,
20.0,142.3567042019225,139.5218213564576,177.19098135394316,179.6508044087933,173.4686342237881,Recording 2025-03-10 131035,,,,,
21.0,158.44118384194272,148.19993087518895,170.0786339401129,178.48350584919527,176.59837571983118,Recording 2025-03-10 131035,,,,,
22.0,158.35210862704014,146.48596602686962,170.11682877561557,174.70513048770437,178.1466656226552,Recording 2025-03-10 131035,,,,,
23.0,161.9845096231763,149.22381401518942,169.63737349880432,174.5265714831442,178.26304128621987,Recording 2025-03-10 131035,,,,,
24.0,162.78266097298686,149.53296139454392,169.05103203257283,176.34467412229802,179.5327417918282,Recording 2025-03-10 131035,,,,,
25.0,169.2914208182066,155.63615422529676,167.74643205902865,177.92090431177948,178.3102543503124,Recording 2025-03-10 131035,,,,,
26.0,172.6663713849189,157.5601378881084,166.5063834609986,178.18103574258313,169.6388992911769,Recording 2025-03-10 131035,,,0.86,0.2672,0.3303
27.0,173.28951989831853,157.0538172565042,166.41114501632862,179.33053388734584,167.55952158703508,Recording 2025-03-10 131035,,,,,
28.0,171.54496300565913,153.50460191805414,164.60803587879067,177.03270528269573,162.6020417142472,Recording 2025-03-10 131035,,,,,
29.0,165.25790551492722,148.95668607254655,167.19131381502692,177.42307883311204,160.56844906473688,Recording 2025-03-10 131035,,,,,
30.0,156.7520361549599,140.00210514373825,166.672424273739,176.7073542690059,159.89290603861335,Recording 2025-03-10 131035,,,,,
31.0,171.59127971575242,151.62501574532956,163.62027689539292,176.59492706750808,159.84102262465058,Recording 2025-03-10 131035,,,,,
32.0,173.6723669478324,153.73560983704417,164.00919555647943,177.62778230872956,162.78521328483396,Recording 2025-03-10 131035,,,,,
33.0,176.0023488568428,155.55362310617565,163.6187155031183,177.85792520751062,162.7965837793404,Recording 2025-03-10 131035,,,,,
34.0,169.97801533258928,156.07569781617696,168.98383444726588,177.37877409528355,164.80145202753977,Recording 2025-03-10 131035,,,,,
35.0,163.16966400195872,155.11162509232963,174.5560190187934,176.85018906365988,165.10736055488704,Recording 2025-03-10 131035,,,,,
36.0,163.75989152961333,155.7169894276816,174.9909367499483,177.42956630464732,165.3029765995028,Recording 2025-03-10 131035,,,,,
37.0,160.32436155927206,178.99204903044665,159.70065322770034,177.17601530987605,166.78562567104171,Recording 2025-03-10 131035,,,,,
38.0,159.40634169185822,178.40185686495306,157.20619409529462,175.9785409795162,167.27448059987202,Recording 2025-03-10 131035,,,,,
39.0,167.01888417206604,174.73598229228762,160.912848837135,178.1285084405212,170.66248171894856,Recording 2025-03-10 131035,,,,,
40.0,170.00299862638795,171.63216545195868,161.22329497234355,178.49128275071564,171.49857259123664,Recording 2025-03-10 131035,,,,,
41.0,171.16064676016782,167.55533368550647,159.38457893185995,179.57072226771416,173.61397161229138,Recording 2025-03-10 131035,,,,,
42.0,171.6080308156025,167.43268109322395,159.89836986204278,179.89322553811664,172.4443273114956,Recording 2025-03-10 131035,,,,,
43.0,172.82895751740216,167.17537758494424,160.99280691299654,179.6701652655113,171.1654054716206,Recording 2025-03-10 131035,,,,,
44.0,175.56608742205736,167.55259785784548,164.04358852649585,179.57635232857274,167.4485571438099,Recording 2025-03-10 131035,,,,,
45.0,174.67556977276973,169.86730842325343,165.63092070457952,177.07091549745357,172.64282957845842,Recording 2025-03-10 131035,,,,,
46.0,173.23991596748525,169.94856446299846,165.28517221539985,179.2606332958383,166.8104224491786,Recording 2025-03-10 131035,,,,,
47.0,174.91677534626402,170.5426654037266,166.9384901094159,177.57560020302128,167.69245795023946,Recording 2025-03-10 131035,,,,,
48.0,176.4731888538696,170.4882506642955,168.07709243605086,177.63998095880024,167.5176884672543,Recording 2025-03-10 131035,,,,,
49.0,169.6084704043889,179.60529902080708,169.32140849795206,174.06926771613456,169.30358841974223,Recording 2025-03-10 131035,,,,,
50.0,166.13856388643458,175.01602742675948,170.57135572101683,172.95033268650877,169.69020479979878,Recording 2025-03-10 131035,,,,,
51.0,167.44051158367,173.93731758851533,173.02074461564612,173.24997992538377,170.205432825346,Recording 2025-03-10 131035,,,,,
